Year,Cumulative_Homes,Revenue_per_Home,Total_Gas_Revenue,COGS_60pct,Gross_Profit,OpEx_10pct,PreTax_Net_Profit,Tax_25pct,PostTax_Net_Profit
2026,2000,240,480000,288000,192000,48000,144000,36000,108000
2027,6000,250,1498000,898800,599200,149800,449400,112350,337050
2028,12000,260,3117000,1870200,1246800,311700,935100,233775,701325
2029,20000,270,5408000,3244800,2163200,540800,1622400,405600,1216800
2030,30000,281,8438000,5062800,3375200,843800,2537400,634350,1903050
2031,42000,292,12280000,7368000,4912000,1228000,3684000,921000,2763000
2032,56000,304,17015000,10209000,6806000,1701500,5104500,1276125,3828375
2033,68000,316,21506000,12903600,8602400,2150600,6451800,1612950,4838850
2034,78000,329,25662000,15397200,10264800,2566200,7698600,1924650,5773950
2035,90000,342,30795000,18477000,12318000,3079500,9243000,2310750,6932250
2036,90000,356,32027000,19216200,12810800,3202700,9605400,2401350,7204050
2037,90000,370,33308000,19984800,13323200,3330800,9999600,2499900,7499700
2038,90000,385,34640000,20784000,13856000,3464000,10390400,2597600,7792800
2039,90000,400,36026000,21615600,14410400,3602600,10807800,2701950,8105850
2040,90000,416,37467000,22480200,14986800,3746700,11240100,2810025,8430075
2041,90000,433,38966000,23379600,15586400,3896600,11689800,2922450,8777350
2042,90000,450,40525000,24315000,16210000,4052500,12157500,3039375,9128125
2043,90000,468,42146000,25287600,16858400,4214600,12643800,3160950,9482850
2044,90000,487,43832000,26299200,17532800,4383200,13149600,3287400,9862200
2045,90000,506,45585000,27351000,18234000,4558500,13675500,3418875,10256625
