year,rev_per_home,total_rev,cogs,opex,pre_tax,tax,post_tax
2026,240.0,21600000.0,12960000.0,2160000.0,6480000.0,1620000.0,4860000.0
2027,249.6,22464000.0,13478400.0,2246400.0,6739200.0,1684800.0,5054400.0
2028,259.58,23362560.0,14017536.0,2336256.0,7008768.0,1752192.0,5256576.0
2029,269.97,24297062.4,14578237.44,2429706.24,7289118.72,1822279.68,5466839.04
2030,280.77,25268944.9,15161366.94,2526894.49,7580683.47,1895170.87,5685512.6
2031,292.0,26279702.69,15767821.62,2627970.27,7883910.81,1970977.7,5912933.11
2032,303.68,27330890.8,16398534.48,2733089.08,8199267.24,2049816.81,6149450.43
2033,315.82,28424126.43,17054475.86,2842412.64,8527237.93,2131809.48,6395428.45
2034,328.46,29561091.49,17736654.89,2956109.15,8868327.45,2217081.86,6651245.58
2035,341.59,30743535.15,18446121.09,3074353.51,9223060.54,2305765.14,6917295.41
2036,355.26,31973276.55,19183965.93,3197327.66,9591982.97,2397995.74,7193987.22
2037,369.47,33252207.62,19951324.57,3325220.76,9975662.28,2493915.57,7481746.71
2038,384.25,34582295.92,20749377.55,3458229.59,10374688.78,2593672.19,7781016.58
2039,399.62,35965587.76,21579352.65,3596558.78,10789676.33,2697419.08,8092257.25
2040,415.6,37404211.27,22442526.76,3740421.13,11221263.38,2805315.85,8415947.54
2041,432.23,38900379.72,23340227.83,3890037.97,11670113.92,2917528.48,8752585.44
2042,449.52,40456394.91,24273836.94,4045639.49,12136918.47,3034229.62,9102688.85
2043,467.5,42074650.7,25244790.42,4207465.07,12622395.21,3155598.8,9466796.41
2044,486.2,43757636.73,26254582.04,4375763.67,13127291.02,3281822.75,9845468.26
2045,505.64,45507942.2,27304765.32,4550794.22,13652382.66,3413095.67,10239287.0
