year,opening_balance,payment,interest,principal,closing_balance
2026,250000000.0,25740690.99,15000000.0,10740690.99,239259309.01
2027,239259309.01,25740690.99,14355558.54,11385132.45,227874176.56
2028,227874176.56,25740690.99,13672450.59,12068240.4,215805936.17
2029,215805936.17,25740690.99,12948356.17,12792334.82,203013601.35
2030,203013601.35,25740690.99,12180816.08,13559874.91,189453726.44
2031,189453726.44,25740690.99,11367223.59,14373467.4,175080259.04
2032,175080259.04,25740690.99,10504815.54,15235875.45,159844383.59
2033,159844383.59,25740690.99,9590663.02,16150027.97,143694355.62
2034,143694355.62,25740690.99,8621661.34,17119029.65,126575325.97
2035,126575325.97,25740690.99,7594519.56,18146171.43,108429154.54
2036,108429154.54,25740690.99,6505749.27,19234941.72,89194212.82
2037,89194212.82,25740690.99,5351652.77,20389038.22,68805174.6
2038,68805174.6,25740690.99,4128310.48,21612380.51,47192794.09
2039,47192794.09,25740690.99,2831567.65,22909123.34,24283670.74
2040,24283670.74,25740690.99,1457020.24,24283670.74,0.0
